cell_id,cluster,mean_event_prob,burden_rate,m6a_freq_cell,n_significant
SRR15268441,0,0.3411927768349758,0.07572825689033,0.03474769717874688,2896
SRR15269866,0,0.33883847310983567,0.06793973177327667,0.029258679216093007,2462
SRR15268433,0,0.3455398469138908,0.06538461538461539,0.029839261501261476,2346
SRR15269361,0,0.3426753695340196,0.06478049678860011,0.02252781165763262,2814
SRR15269685,0,0.3427078431418557,0.06392399742174144,0.025194628055817857,2281
SRR15269066,2,0.34541112037966065,0.057573745613203074,0.031904351437813463,1821
SRR15270032,2,0.34349833057362816,0.05703647566641405,0.03278092339880968,1731
SRR15268430,2,0.34155891813264994,0.05612993809432638,0.029455184608083194,1759
SRR15268448,2,0.34283730811291385,0.054889962030449366,0.026828063544268067,1489
SRR15269053,2,0.3447891208025141,0.054226527473246716,0.03170532583353768,1657
SRR15269096,0,0.3419660239077712,0.0521756749911352,0.022827864653559286,2060
SRR15269709,1,0.3776755907411344,0.04582708068798338,0.03616539842964006,397
SRR15269843,1,0.3616332576174992,0.04435130129642265,0.02542895234204831,455
SRR15269631,1,0.35878721963988774,0.03721403948605453,0.03031542579831514,475
SRR15269752,1,0.3556625967190759,0.020061641916503222,0.04929118665338052,358
SRR15269649,2,0.3399411804923199,0.014274258219727345,0.036115374348612894,356
SRR15269844,1,0.3604659215901564,0.013707404560594414,0.02951080748981855,214
SRR15269345,1,0.35512973376535223,0.011991508405531011,0.025173184383573306,209
SRR15269904,1,0.35552553177831303,0.011936507936507936,0.0257630690579928,188
SRR15269910,1,0.3516761274429844,0.01171028748755782,0.026291783293989814,200
SRR15269590,2,0.33664093921430577,0.01151109889774358,0.03186709661432457,377
SRR15269908,1,0.3444230344840972,0.011398330958681051,0.0248828418625896,224
SRR15269679,0,0.33534959645838763,0.011102814660909652,0.03852388592722944,342
SRR15269198,2,0.34100124682758837,0.010480522048645443,0.031482624386535846,318
SRR15270046,1,0.36214300044224795,0.010454783063251438,0.03041867857211562,160
SRR15269834,1,0.37843799545684303,0.01031297641467133,0.025214435044254704,115
SRR15269426,0,0.33940710651565215,0.009991783944236835,0.037847682768756725,377
SRR15269133,2,0.3426012629188605,0.009942289012056455,0.02850118525702723,348
SRR15269193,2,0.34021718931634276,0.00974350701726085,0.03336534417147549,302
SRR15269128,2,0.34819762978820645,0.009742340725548007,0.030837357261716516,228
SRR15268440,0,0.3397229761969306,0.009693877551020408,0.02926863168560947,342
SRR15270061,2,0.3395707993032683,0.009477528598593462,0.03011444087888318,314
SRR15269202,2,0.3411936872318993,0.009177407382414468,0.02308965628429756,272
SRR15269112,1,0.34806653400918824,0.009069442953740474,0.024430650497401094,169
SRR15269158,2,0.34615332105790697,0.008982363895278782,0.028725334955754238,246
SRR15268915,0,0.3400350766000481,0.008863412540087372,0.03637956148572972,351
SRR15268892,0,0.34106387235300695,0.008628253875402165,0.02988146312337769,354
