[Step03] device=mps; loading Step2
[Step03] cells=985; sites=80,891; observed=34,115,033; significant=396,423
[real_labels] epoch=057 train_loss=0.9172 val_hidden_nll=0.7923 val_auprc=0.0520 val_lift=4.361
[real_labels] epoch=058 train_loss=0.9166 val_hidden_nll=0.7922 val_auprc=0.0525 val_lift=4.403
[real_labels] epoch=059 train_loss=0.9168 val_hidden_nll=0.7921 val_auprc=0.0524 val_lift=4.392
[real_labels] epoch=060 train_loss=0.9163 val_hidden_nll=0.7920 val_auprc=0.0519 val_lift=4.352
[real_labels] epoch=061 train_loss=0.9167 val_hidden_nll=0.7919 val_auprc=0.0519 val_lift=4.347
[real_labels] epoch=062 train_loss=0.9161 val_hidden_nll=0.7918 val_auprc=0.0525 val_lift=4.403
[real_labels] epoch=063 train_loss=0.9158 val_hidden_nll=0.7917 val_auprc=0.0523 val_lift=4.386
[real_labels] epoch=064 train_loss=0.9165 val_hidden_nll=0.7916 val_auprc=0.0523 val_lift=4.385
[real_labels] epoch=065 train_loss=0.9163 val_hidden_nll=0.7915 val_auprc=0.0524 val_lift=4.394
[real_labels] epoch=066 train_loss=0.9159 val_hidden_nll=0.7915 val_auprc=0.0523 val_lift=4.386
[real_labels] epoch=067 train_loss=0.9155 val_hidden_nll=0.7914 val_auprc=0.0520 val_lift=4.361
[real_labels] epoch=068 train_loss=0.9151 val_hidden_nll=0.7912 val_auprc=0.0522 val_lift=4.379
[real_labels] epoch=069 train_loss=0.9155 val_hidden_nll=0.7911 val_auprc=0.0524 val_lift=4.392
[real_labels] epoch=070 train_loss=0.9151 val_hidden_nll=0.7911 val_auprc=0.0523 val_lift=4.388
[real_labels] epoch=071 train_loss=0.9150 val_hidden_nll=0.7910 val_auprc=0.0520 val_lift=4.355
[real_labels] epoch=072 train_loss=0.9151 val_hidden_nll=0.7909 val_auprc=0.0523 val_lift=4.380
[real_labels] epoch=073 train_loss=0.9150 val_hidden_nll=0.7908 val_auprc=0.0525 val_lift=4.401
[real_labels] epoch=074 train_loss=0.9149 val_hidden_nll=0.7907 val_auprc=0.0524 val_lift=4.390
[real_labels] epoch=075 train_loss=0.9147 val_hidden_nll=0.7906 val_auprc=0.0527 val_lift=4.414
[real_labels] epoch=076 train_loss=0.9147 val_hidden_nll=0.7905 val_auprc=0.0521 val_lift=4.367
[real_labels] epoch=077 train_loss=0.9145 val_hidden_nll=0.7904 val_auprc=0.0519 val_lift=4.348
[real_labels] epoch=078 train_loss=0.9143 val_hidden_nll=0.7902 val_auprc=0.0523 val_lift=4.386
[real_labels] epoch=079 train_loss=0.9142 val_hidden_nll=0.7901 val_auprc=0.0526 val_lift=4.412
[real_labels] epoch=080 train_loss=0.9139 val_hidden_nll=0.7901 val_auprc=0.0520 val_lift=4.359
[real_labels] epoch=081 train_loss=0.9140 val_hidden_nll=0.7900 val_auprc=0.0521 val_lift=4.365
[real_labels] epoch=082 train_loss=0.9138 val_hidden_nll=0.7899 val_auprc=0.0527 val_lift=4.415
[real_labels] epoch=083 train_loss=0.9135 val_hidden_nll=0.7897 val_auprc=0.0522 val_lift=4.372
[real_labels] epoch=084 train_loss=0.9137 val_hidden_nll=0.7896 val_auprc=0.0522 val_lift=4.375
[real_labels] epoch=085 train_loss=0.9136 val_hidden_nll=0.7895 val_auprc=0.0522 val_lift=4.377
[real_labels] epoch=086 train_loss=0.9134 val_hidden_nll=0.7894 val_auprc=0.0520 val_lift=4.357
[real_labels] epoch=087 train_loss=0.9134 val_hidden_nll=0.7893 val_auprc=0.0527 val_lift=4.420
[real_labels] epoch=088 train_loss=0.9132 val_hidden_nll=0.7892 val_auprc=0.0523 val_lift=4.384
[real_labels] epoch=089 train_loss=0.9130 val_hidden_nll=0.7891 val_auprc=0.0522 val_lift=4.373
[real_labels] epoch=090 train_loss=0.9127 val_hidden_nll=0.7890 val_auprc=0.0521 val_lift=4.370
[real_labels] epoch=091 train_loss=0.9131 val_hidden_nll=0.7889 val_auprc=0.0519 val_lift=4.352
[real_labels] epoch=092 train_loss=0.9126 val_hidden_nll=0.7888 val_auprc=0.0529 val_lift=4.437
[real_labels] epoch=093 train_loss=0.9126 val_hidden_nll=0.7886 val_auprc=0.0522 val_lift=4.373
[real_labels] epoch=094 train_loss=0.9126 val_hidden_nll=0.7886 val_auprc=0.0522 val_lift=4.374
[real_labels] epoch=095 train_loss=0.9122 val_hidden_nll=0.7885 val_auprc=0.0523 val_lift=4.380
[real_labels] epoch=096 train_loss=0.9123 val_hidden_nll=0.7884 val_auprc=0.0523 val_lift=4.380
[real_labels] epoch=097 train_loss=0.9128 val_hidden_nll=0.7882 val_auprc=0.0525 val_lift=4.399
[real_labels] epoch=098 train_loss=0.9122 val_hidden_nll=0.7881 val_auprc=0.0523 val_lift=4.384
[real_labels] epoch=099 train_loss=0.9115 val_hidden_nll=0.7879 val_auprc=0.0524 val_lift=4.388
[real_labels] epoch=100 train_loss=0.9119 val_hidden_nll=0.7879 val_auprc=0.0526 val_lift=4.412
[Step03] running label-permutation control
[permuted_train_labels] epoch=001 train_loss=7.8025 val_hidden_nll=4.4220 val_auprc=0.0115 val_lift=0.963
[permuted_train_labels] epoch=002 train_loss=3.1885 val_hidden_nll=1.8053 val_auprc=0.0115 val_lift=0.968
[permuted_train_labels] epoch=003 train_loss=1.6095 val_hidden_nll=1.1285 val_auprc=0.0117 val_lift=0.978
[permuted_train_labels] epoch=004 train_loss=1.2051 val_hidden_nll=0.9437 val_auprc=0.0118 val_lift=0.990
[permuted_train_labels] epoch=005 train_loss=1.0857 val_hidden_nll=0.8790 val_auprc=0.0119 val_lift=1.000
[permuted_train_labels] epoch=006 train_loss=1.0393 val_hidden_nll=0.8500 val_auprc=0.0120 val_lift=1.005
[permuted_train_labels] epoch=007 train_loss=1.0165 val_hidden_nll=0.8341 val_auprc=0.0121 val_lift=1.010
[permuted_train_labels] epoch=008 train_loss=1.0035 val_hidden_nll=0.8241 val_auprc=0.0121 val_lift=1.017
[permuted_train_labels] epoch=009 train_loss=0.9945 val_hidden_nll=0.8173 val_auprc=0.0121 val_lift=1.013
[permuted_train_labels] epoch=010 train_loss=0.9884 val_hidden_nll=0.8124 val_auprc=0.0121 val_lift=1.014
[permuted_train_labels] epoch=011 train_loss=0.9836 val_hidden_nll=0.8086 val_auprc=0.0121 val_lift=1.013
[permuted_train_labels] epoch=012 train_loss=0.9802 val_hidden_nll=0.8058 val_auprc=0.0121 val_lift=1.018
[permuted_train_labels] epoch=013 train_loss=0.9776 val_hidden_nll=0.8036 val_auprc=0.0121 val_lift=1.014
[permuted_train_labels] epoch=014 train_loss=0.9751 val_hidden_nll=0.8019 val_auprc=0.0121 val_lift=1.012
[permuted_train_labels] epoch=015 train_loss=0.9738 val_hidden_nll=0.8006 val_auprc=0.0122 val_lift=1.019
[permuted_train_labels] epoch=016 train_loss=0.9723 val_hidden_nll=0.7995 val_auprc=0.0121 val_lift=1.016
[permuted_train_labels] epoch=017 train_loss=0.9709 val_hidden_nll=0.7986 val_auprc=0.0121 val_lift=1.016
[permuted_train_labels] epoch=018 train_loss=0.9703 val_hidden_nll=0.7979 val_auprc=0.0121 val_lift=1.015
[permuted_train_labels] epoch=019 train_loss=0.9691 val_hidden_nll=0.7973 val_auprc=0.0121 val_lift=1.011
[permuted_train_labels] epoch=020 train_loss=0.9683 val_hidden_nll=0.7968 val_auprc=0.0121 val_lift=1.015
[permuted_train_labels] epoch=021 train_loss=0.9680 val_hidden_nll=0.7964 val_auprc=0.0121 val_lift=1.012
[permuted_train_labels] epoch=022 train_loss=0.9674 val_hidden_nll=0.7961 val_auprc=0.0121 val_lift=1.017
[permuted_train_labels] epoch=023 train_loss=0.9672 val_hidden_nll=0.7958 val_auprc=0.0121 val_lift=1.014
[permuted_train_labels] epoch=024 train_loss=0.9664 val_hidden_nll=0.7955 val_auprc=0.0121 val_lift=1.012
[permuted_train_labels] epoch=025 train_loss=0.9667 val_hidden_nll=0.7953 val_auprc=0.0122 val_lift=1.018
[permuted_train_labels] epoch=026 train_loss=0.9663 val_hidden_nll=0.7951 val_auprc=0.0122 val_lift=1.019
[permuted_train_labels] epoch=027 train_loss=0.9660 val_hidden_nll=0.7950 val_auprc=0.0121 val_lift=1.014
[permuted_train_labels] epoch=028 train_loss=0.9657 val_hidden_nll=0.7948 val_auprc=0.0121 val_lift=1.015
[permuted_train_labels] epoch=029 train_loss=0.9654 val_hidden_nll=0.7947 val_auprc=0.0121 val_lift=1.012
[permuted_train_labels] epoch=030 train_loss=0.9650 val_hidden_nll=0.7946 val_auprc=0.0121 val_lift=1.018
[permuted_train_labels] epoch=031 train_loss=0.9649 val_hidden_nll=0.7945 val_auprc=0.0121 val_lift=1.018
[permuted_train_labels] epoch=032 train_loss=0.9648 val_hidden_nll=0.7943 val_auprc=0.0121 val_lift=1.017
[permuted_train_labels] epoch=033 train_loss=0.9647 val_hidden_nll=0.7942 val_auprc=0.0121 val_lift=1.013
[permuted_train_labels] epoch=034 train_loss=0.9645 val_hidden_nll=0.7941 val_auprc=0.0121 val_lift=1.015
[permuted_train_labels] epoch=035 train_loss=0.9643 val_hidden_nll=0.7941 val_auprc=0.0121 val_lift=1.014
[permuted_train_labels] epoch=036 train_loss=0.9642 val_hidden_nll=0.7939 val_auprc=0.0121 val_lift=1.014
[permuted_train_labels] epoch=037 train_loss=0.9641 val_hidden_nll=0.7939 val_auprc=0.0121 val_lift=1.016
[permuted_train_labels] epoch=038 train_loss=0.9640 val_hidden_nll=0.7938 val_auprc=0.0121 val_lift=1.017
[permuted_train_labels] epoch=039 train_loss=0.9638 val_hidden_nll=0.7937 val_auprc=0.0121 val_lift=1.014
[permuted_train_labels] epoch=040 train_loss=0.9636 val_hidden_nll=0.7936 val_auprc=0.0121 val_lift=1.015
[Step03] completed: /Users/Zhuanz/Desktop/FYP/final5/step3-output; status=weak_or_overfit
