model,epoch,train_loss,train_nll_component,train_sig_bce_component,lr,train_heldout_n,train_heldout_nll,train_heldout_mae,train_n,train_positive_n,train_prevalence,train_auprc,train_auroc,train_auprc_lift_over_random,train_brier,train_ece10,train_precision_at_1pct,train_lift_at_1pct,train_precision_at_5pct,train_lift_at_5pct,train_precision_at_10pct,train_lift_at_10pct,train_mean_score_positive,train_mean_score_negative,train_score_separation,val_heldout_n,val_heldout_nll,val_heldout_mae,val_n,val_positive_n,val_prevalence,val_auprc,val_auroc,val_auprc_lift_over_random,val_brier,val_ece10,val_precision_at_1pct,val_lift_at_1pct,val_precision_at_5pct,val_lift_at_5pct,val_precision_at_10pct,val_lift_at_10pct,val_mean_score_positive,val_mean_score_negative,val_score_separation,test_heldout_n,test_heldout_nll,test_heldout_mae,test_n,test_positive_n,test_prevalence,test_auprc,test_auroc,test_auprc_lift_over_random,test_brier,test_ece10,test_precision_at_1pct,test_lift_at_1pct,test_precision_at_5pct,test_lift_at_5pct,test_precision_at_10pct,test_lift_at_10pct,test_mean_score_positive,test_mean_score_negative,test_score_separation
real_labels,1,7.839879559779512,7.643016965838446,1.3120783705642258,0.001,4787799,4.35618932102204,0.21604679578497343,4787799,56043,0.011705378609252394,0.038089391432103915,0.7316325816126827,3.254007640726508,0.1705417997394041,0.36937788602692945,0.07577593048999541,6.473599275985753,0.05249592714816826,4.484769685849666,0.04215297213751619,3.601162640241027,0.528163758046921,0.37934124072535075,0.1488225173215702,996308,4.463634363068449,0.21620318701019162,996308,11887,0.011931049434512219,0.039531887239118095,0.732753467336022,3.3133621192421363,0.17079328372432587,0.3694955492899166,0.0806904857486953,6.763066919770432,0.053858198169262884,4.51412077913872,0.04351055394405356,3.646833766206117,0.529917842968565,0.37963354938849425,0.15028429358007078,1038899,4.306824700957456,0.21574656123333452,1038899,11354,0.010928877590603129,0.03596867206541183,0.732559202392779,3.2911588374215506,0.17042082854513246,0.36999267239996986,0.07113292905958225,6.508713129035665,0.04932139763211089,4.512942635071549,0.039695832130137644,3.632196609491621,0.5290597702186408,0.3792846763232694,0.14977509389537141
real_labels,2,3.1704668190168297,3.007612569435783,1.0851473284804303,0.001,4787799,1.7511152567181705,0.08244544573743592,4787799,56043,0.011705378609252394,0.047212946963947705,0.7496796399337478,4.033440398641076,0.1697851386865323,0.32980270862898314,0.09476168595179414,8.095567782565423,0.060232256986507374,5.145690626264529,0.04586240026734617,3.9180620976321703,0.5722978688695929,0.3387746090681934,0.23352325980139949,996308,1.795027899254046,0.08259092079676918,996308,11887,0.011931049434512219,0.0492215755644534,0.7507475958792345,4.125502608519343,0.17019477090092275,0.330098042245487,0.10507828181453231,8.807128190298062,0.06226915047374337,5.219084106182747,0.04725436862020857,3.960621308257993,0.5743990149978893,0.3392231973741283,0.23517581762376094,1038899,1.7124848186637969,0.08158178547824428,1038899,11354,0.010928877590603129,0.044635944924340205,0.7520608404986497,4.084220410952273,0.16961181288391794,0.3303127817830387,0.08807392434305515,8.058826134056337,0.05725286360573684,5.238677360149409,0.04381557416498219,4.00915590843983,0.5750666723673731,0.33865797768813816,0.23640869467923492
real_labels,3,1.558531895927761,1.4055838021679201,1.018990861505702,0.001,4787799,1.0894529902988825,0.045011218310464784,4787799,56043,0.011705378609252394,0.0520404562984264,0.7524574366483452,4.4458584412888245,0.1781950593407986,0.3224875188375985,0.10720999206316054,9.159036682369036,0.06226241697648189,5.319128842809682,0.04673336396674882,3.992469233742591,0.5908224597934091,0.3311533724665712,0.25966908732683786,996308,1.11559330171995,0.045139311074769296,996308,11887,0.011931049434512219,0.052863098612793064,0.7536453861755275,4.430716585573705,0.1785638541719811,0.32276971241685565,0.11150140505820956,9.34548177595143,0.0634334350409507,5.316668528542063,0.048187813030080996,4.038857880404975,0.592927376225953,0.33158264494298145,0.2613447312829716,1038899,1.0518645370002282,0.04393927865581736,1038899,11354,0.010928877590603129,0.048333940949203714,0.7547254023384735,4.422589652826034,0.17806371469881882,0.3229847276247867,0.09875830205024545,9.036454222450057,0.05898546539609202,5.3972116447537966,0.044508614881124266,4.072569622281585,0.5936289888010006,0.3310438443141826,0.26258514448681797
real_labels,4,1.1517606520998305,1.0012057408042576,1.0029540884322015,0.001,4787799,0.9135987120595497,0.03386832782532224,4787799,56043,0.011705378609252394,0.05339095513667688,0.7532839584053193,4.561232653719937,0.18076925080555634,0.32160621716942006,0.10883913279585614,9.298215498115146,0.06270103178913071,5.356600062433635,0.047038305693638,4.018520653100196,0.5927668897189172,0.3302386027844662,0.262528286934451,996308,0.9346482682814953,0.0339880277437424,996308,11887,0.011931049434512219,0.05345083602886901,0.7545761001626079,4.47997775235555,0.18108435103740492,0.32187274484271283,0.1137093536732236,9.530540821019775,0.06405572506825116,5.368825719803078,0.04809747970009334,4.03128659922946,0.5947839177898449,0.3306524284203462,0.26413148936949865,1038899,0.8756482373406848,0.03273206591485313,1038899,11354,0.010928877590603129,0.04921801410780739,0.7555165569205123,4.503482969754007,0.18069481522955036,0.32214146491789214,0.10058715949562037,9.203795967310244,0.059331985754163055,5.428918501674674,0.04466262392915584,4.086661558690865,0.5953577377408777,0.330172161810357,0.2651855759305207
real_labels,5,1.0344408988952636,0.8851979447447735,0.9941710693248804,0.001,4787799,0.8533640731889538,0.02964715338470245,4787799,56043,0.011705378609252394,0.053596650619201276,0.7535088313987186,4.578805385828047,0.18414143710119502,0.3253331597432406,0.10877647353690631,9.292862466740297,0.06269267722127073,5.3558863249169875,0.046938050879318266,4.009955802900436,0.5941499960092792,0.33399330579581443,0.26015669021346477,996308,0.8726179476502246,0.029771097509191435,996308,11887,0.011931049434512219,0.05344788668020104,0.7546902367554076,4.479730552921489,0.18446595692295412,0.3256227354433129,0.11170212765957446,9.362305325503097,0.06417616829934157,5.378920660047144,0.04789673896678744,4.014461529950539,0.5960291718179255,0.33443266401128835,0.2615965078066371,1038899,0.8150745329310164,0.0284873185722036,1038899,11354,0.010928877590603129,0.0494543002564465,0.7556323954763622,4.525103318841115,0.18402167301512581,0.32579972638231774,0.09991336991048225,9.142143745519649,0.05952449706420252,5.446533422186272,0.04445086148811243,4.067285146128106,0.5963278527956266,0.3338601263187715,0.2624677264768551
real_labels,6,0.9900554276894832,0.8412676301555357,0.9911340976106948,0.001,4787799,0.8266619549504898,0.027653440800446613,4787799,56043,0.011705378609252394,0.053488193595449866,0.7534252361845147,4.569539814215893,0.18385594788906415,0.32581425446866,0.10804544884915827,9.230410434033708,0.06254647228372112,5.34339591837567,0.046898366681983376,4.006565549696364,0.591484843559583,0.3345116647272569,0.25697317883232607,996308,0.8451614140657306,0.02778313612960613,996308,11887,0.011931049434512219,0.053526178927921844,0.7546906192602568,4.486292611703538,0.18412560143735546,0.32605014116140035,0.11089923725411481,9.295011127296426,0.06359402601573791,5.330128448867486,0.048037257480101576,4.026239078445784,0.5933837308001914,0.33489717471712876,0.2584865560830626,1038899,0.788244965343118,0.026485655859442302,1038899,11354,0.010928877590603129,0.049697814061884005,0.7554675159108399,4.5473850036178645,0.1837631508717458,0.3262956804253852,0.09904706901530465,9.062876603217456,0.05940899027817884,5.4359644698793135,0.04427760130907691,4.0514317176676675,0.5934822334704033,0.3343930035370026,0.2590892299334007
real_labels,7,0.967567753791809,0.8192242007324662,0.98818015879479,0.001,4787799,0.8122471959453603,0.026531620156386056,4787799,56043,0.011705378609252394,0.05360334413872823,0.7535806463022737,4.579377218636741,0.18650442155917993,0.32882659982364587,0.10940306612640462,9.3463927804888,0.06262166339446092,5.349819556025491,0.04704457161953298,4.019055956237682,0.5945905998272689,0.33752290372177524,0.2570676961054937,996308,0.8304115670053839,0.026665032505086905,996308,11887,0.011931049434512219,0.05341430961575895,0.7549997139003022,4.476916293821618,0.18677775169595776,0.329067522770403,0.11350863107185868,9.513717271468106,0.06407579894009957,5.370508209843756,0.0481777759934157,4.03801662694103,0.596721584849394,0.33791068658351453,0.25881089826587944,1038899,0.7737484135849587,0.025359389351882377,1038899,11354,0.010928877590603129,0.05043542188067637,0.7557778671023138,4.61487663875399,0.18638415226533428,0.3292849223153,0.1015497160458177,9.291870569868237,0.05919722783713543,5.416588057316554,0.04440273366060256,4.062881416000206,0.5968063134003332,0.3373785455878774,0.2594277678124558
real_labels,8,0.9556579252947932,0.807484469551971,0.9870513494463934,0.001,4787799,0.8032081325364745,0.025797261238932546,4787799,56043,0.011705378609252394,0.05355593507380865,0.753557372691623,4.575327023721892,0.18688911936946734,0.3293399676198749,0.10871381427795647,9.287509435365445,0.06240444463010151,5.331262380592676,0.04690045532394837,4.006743984075525,0.5946190805821424,0.33804201452851845,0.25657706605362396,996308,0.8212215515307515,0.025935413948689187,996308,11887,0.011931049434512219,0.05333514595550989,0.7550502732904557,4.470281197664856,0.1871532510425375,0.32957078768272,0.11401043757527098,9.555776145347277,0.06447727637706761,5.404158010657313,0.048318294506729836,4.049794175436274,0.5967904338690521,0.33841919711911267,0.2583712367499394,1038899,0.7646284371724297,0.024621398931479986,1038899,11354,0.010928877590603129,0.05066632293590768,0.7557174349986038,4.636004247999961,0.18675171282872777,0.32977292671572556,0.09991336991048225,9.142143745519649,0.05919722783713543,5.416588057316554,0.04442198479160651,4.064642908051366,0.5967809312666592,0.3378722227235195,0.2589087085431397
real_labels,9,0.9473388708156089,0.7991977100786956,0.9868463531784389,0.001,4787799,0.7970966669653425,0.025272646891739817,4787799,56043,0.011705378609252394,0.05335747600047579,0.7532088728568891,4.558372503927377,0.18727459649857486,0.32981385482438363,0.10819165378670788,9.242900840575025,0.06241697648189148,5.332332986867646,0.046812732361418606,3.9992497401507348,0.5943513918343266,0.33852468497144755,0.25582670686287906,996308,0.8149692414393942,0.025412904276573483,996308,11887,0.011931049434512219,0.05298145161506715,0.7545023656017966,4.440636333448668,0.1875244154843612,0.33002487608551034,0.11501405058209554,9.639893893105615,0.0633932872972539,5.313303548460708,0.04796699822344451,4.020350304198162,0.5962213057005102,0.3388856409830151,0.25733566471749514,1038899,0.758412789946376,0.024092296643489886,1038899,11354,0.010928877590603129,0.05069389516982488,0.7553116662839677,4.638527126830711,0.1871524855413764,0.3302636021510192,0.1001058812205217,9.159758666031246,0.05898546539609202,5.3972116447537966,0.04438348252959862,4.061119923949047,0.5963381973778473,0.3383732119936972,0.25796498538415014
real_labels,10,0.9417696106261101,0.7934371611346369,0.98813331645468,0.001,4787799,0.7926935215952048,0.024867130238563167,4787799,56043,0.011705378609252394,0.05335264854865981,0.7534518214307871,4.557960090798581,0.1867972532432378,0.32912854454228146,0.10821254020635783,9.244685184366643,0.06253394043193115,5.3423253121007,0.0468169096453486,3.9996066089090583,0.5940676308534645,0.3378346187324684,0.2562330121209961,996308,0.8104436109365778,0.025009688798387397,996308,11887,0.011931049434512219,0.05294721354545423,0.7546012945931149,4.437766672250729,0.18708165219411152,0.3293634924053915,0.1130068245684464,9.471658397588937,0.06377469086237353,5.345270859233587,0.04780640563679979,4.006890248775026,0.595829713015912,0.3382209995447178,0.25760871347119424,1038899,0.7539530129974136,0.023683922704017667,1038899,11354,0.010928877590603129,0.050695264949488034,0.7556532056492636,4.638652462635033,0.18667209383916783,0.32957937328380926,0.10097218211569929,9.23902580833344,0.05913947444412359,5.411303581163075,0.04425835017807296,4.049670225616507,0.5961279266511464,0.33768374606073603,0.2584441805904104
