metric,train,val,test,train_minus_val,val_minus_test
auprc,0.052320197572236875,0.052634128819985096,0.04946068614482797,-0.0003139312477482212,0.003173442675157123
auroc,0.7544420717232531,0.7554591900740608,0.756533292312812,-0.0010171183508077553,-0.0010741022387511512
auprc_lift_over_random,4.469756965475762,4.411525499821798,4.5256876321275,0.05823146565396353,-0.11416213230570182
brier,0.1885876854550915,0.1888975588109642,0.18845875079163996,-0.0003098733558727085,0.0004388080193242494
ece10,0.33224136202245935,0.3325295792371737,0.332570300114364,-0.0002882172147143369,-4.0720877190314475e-05
