reference_site_source,n_sites,detected,detected_conservative,mean_event_prob,mean_event_prob_residual,mean_m6a_freq,mean_coverage_per_entry,detection_rate,detection_rate_conservative
Exon_DRACH,71092,24935,11825,0.34644391920483947,0.3258466340262279,0.019120605417435144,93.11846899321375,0.3507426996005176,0.16633376469926292
GLORI_DRACH_NonExon,1377,576,333,0.35237146594361485,0.3297590592985016,0.021951868003929273,39.80221721158879,0.41830065359477125,0.24183006535947713
GLORI_NonDRACH,7834,3575,1949,0.4159644193678197,0.38836018608838696,0.026610396535902834,90.31655503732425,0.4563441409241767,0.24878733724789379
