strand,n_sites,detected,detected_conservative,mean_event_prob,mean_event_prob_residual,mean_m6a_freq,detection_rate,detection_rate_conservative
+,42331,15507,7526,0.3549131163052133,0.3334488421000072,0.020371820913926867,0.366327277881458,0.17778932697077793
-,37972,13579,6581,0.3515602219458106,0.33041077356282644,0.019373646316563107,0.3576056041293585,0.17331191404192564
