cell_id,n_entries,n_significant,n_detected_entries,mean_event_prob,median_event_prob,event_prob_std,mean_event_prob_residual,total_Y,total_N,n_sites,mean_posterior_fg,burden_rate,detected_entry_rate,m6a_freq_cell,cell_rank
SRR15270046,15304,160,5140,0.36214300044224795,0.34891592,0.2741354380258371,0.33982301542324206,82224.0,2703076,15304,,0.010454783063251438,0.3358599059069524,0.03041867857211562,25.0
SRR15269834,11151,115,3960,0.37843799545684303,0.3693679,0.2720125072878099,0.3549108156118777,85173.0,3377946,11151,,0.01031297641467133,0.35512510088781274,0.025214435044254704,26.0
SRR15269426,37731,377,11607,0.33940710651565215,0.3248844,0.2718841769198338,0.31978186352882115,200656.0,5301672,37731,,0.009991783944236835,0.3076250298163314,0.037847682768756725,27.0
SRR15269133,35002,348,11051,0.3426012629188605,0.329929275,0.27550614540602975,0.3228638456545849,231567.0,8124820,35002,,0.009942289012056455,0.3157248157248157,0.02850118525702723,28.0
SRR15269193,30995,302,9466,0.34021718931634276,0.32460558,0.26944184005029403,0.3207306730084559,127475.0,3820581,30995,,0.00974350701726085,0.3054040974350702,0.03336534417147549,29.0
SRR15269128,23403,228,7344,0.34819762978820645,0.33392966,0.2698023583892108,0.32760561280687706,116268.0,3770362,23403,,0.009742340725548007,0.3138059223176516,0.030837357261716516,30.0
SRR15268440,35280,342,10798,0.3397229761969306,0.3244407,0.270663974884241,0.32025127134104076,143615.0,4906789,35280,,0.009693877551020408,0.3060657596371882,0.02926863168560947,31.0
SRR15270061,33131,314,10115,0.3395707993032683,0.32405305,0.27057896617020627,0.3200304439568319,135435.0,4497344,33131,,0.009477528598593462,0.3053031903655187,0.03011444087888318,32.0
SRR15269202,29638,272,9172,0.3411936872318993,0.324148495,0.2713730745423198,0.32144452387527106,99678.0,4316998,29638,,0.009177407382414468,0.3094675754099467,0.02308965628429756,33.0
SRR15269112,18634,169,5814,0.34806653400918824,0.33298443,0.2683709416710932,0.32784586960103784,64134.0,2625145,18634,,0.009069442953740474,0.31201030374584093,0.024430650497401094,34.0
SRR15269158,27387,246,8562,0.34615332105790697,0.33047283,0.2709632687341929,0.3256301737894128,119168.0,4148533,27387,,0.008982363895278782,0.31263007996494685,0.028725334955754238,35.0
SRR15268915,39601,351,12220,0.3400350766000481,0.3279989,0.271446858134081,0.3208616805361478,293111.0,8057024,39601,,0.008863412540087372,0.30857806621044925,0.03637956148572972,36.0
SRR15268892,41028,354,12849,0.34106387235300695,0.32815482,0.27344134170010437,0.32163253177315787,323900.0,10839496,41028,,0.008628253875402165,0.3131763673588769,0.02988146312337769,37.0
SRR15269445,39151,332,12013,0.33973969113278046,0.32710794,0.2704111345977907,0.32048368363770363,199075.0,6566755,39151,,0.008479987739776762,0.3068376286684887,0.030315582049277003,38.0
SRR15269895,28519,240,8800,0.34301206224269903,0.32650915,0.26887193669778237,0.3230892845326935,95649.0,2901574,28519,,0.008415442336687822,0.3085662190118868,0.032964522014603106,39.0
SRR15269132,41940,351,12923,0.3390816916697969,0.326515555,0.2731429758468212,0.3197143304062402,314845.0,10132602,41940,,0.008369098712446352,0.3081306628516929,0.031072472796227466,40.0
SRR15269771,34623,289,10619,0.34139516337996106,0.32575247,0.2697804140560291,0.32169682346215156,155992.0,5064934,34623,,0.008347052537330675,0.3067036363111227,0.030798426988387213,41.0
SRR15269666,34531,286,10464,0.3393564909471993,0.32452053,0.2692048783424399,0.31983490316053137,167903.0,6242264,34531,,0.008282412904346819,0.30303205815064727,0.026897772987493,42.0
SRR15269123,38511,312,11970,0.3425306246335839,0.32876632,0.2718241889572986,0.32310077136310755,140687.0,4585874,38511,,0.008101581366362857,0.31082028511334425,0.030678339614215306,43.0
