split,scope,method,n,positive_n,prevalence,auprc,auroc,auprc_lift_over_random,brier,ece10,precision_at_1pct,lift_at_1pct,precision_at_5pct,lift_at_5pct,precision_at_10pct,lift_at_10pct,mean_score_positive,mean_score_negative,score_separation
test,all_observed,ae_significance_head,5194495,56772,0.0109292626135938,0.050070950066517,0.7581572086972223,4.581365810007966,0.188457650196151,0.3325809763712892,0.1013187024737703,9.270406070007883,0.0597324092790451,5.4653649922136545,0.0445740687265376,4.078415013204685,0.5993156497012692,0.3387926853525882,0.2605229643486809
test,all_observed,ae_m6a_probability,5194495,56772,0.0109292626135938,0.038628662655575,0.7270314927816769,3.5344253332817424,0.0107781989828013,0.0052556398667636,0.0818365578977765,7.487838913852084,0.0489017229762248,4.474384476350756,0.0382231206083357,3.497319257457848,0.0242697034753065,0.0063639795001341,0.0179057239751723
test,all_observed,coverage_only,5194495,56772,0.0109292626135938,0.0097996091259803,0.4573582355387836,0.8966395513080259,0.9890707373864062,0.0,0.0083549908557127,0.7644606183514007,0.0085051496775435,0.7781997723217715,0.0090153046491481,0.8248776672211082,3.905955417385961,4.097326338603394,-0.191370921217433
test,all_observed,train_site_mean_m6a,5194495,56772,0.0109292626135938,0.0477567094864865,0.7602172629009496,4.369618626153856,0.010923833864861,0.0086093297825325,0.098912311098277,9.050227320482712,0.0585734911926075,5.359326906442331,0.0445259408990278,4.074011438214181,0.0578214676250084,0.0191155654263006,0.0387059021987078
test,all_observed,train_site_significance_prior,5194495,56772,0.0109292626135938,0.0522577133781378,0.7642181099641143,4.78144914489837,0.0105977644161362,0.0007336184715217,0.1040523630763307,9.52052912946848,0.060629511983829,5.547447630036639,0.0455212243719318,4.1650773690177925,0.0366638886426442,0.0113866191688822,0.025277269473762
test,all_observed,observed_ratio_upper_bound,5194495,56772,0.0109292626135938,0.7532341162525777,0.9911055892691948,68.91902435537648,0.0066462344910071,0.0081772141698944,0.7060544807007412,64.60220654068196,0.2050784483588411,18.764161463534105,0.1092925209356049,9.999990374434498,0.7088389187383685,0.0114849117059894,0.697354007032379
test,heldout_input_entries,ae_significance_head,1038899,11354,0.0109288775906031,0.0494606861448279,0.756533292312812,4.5256876321275,0.1884587507916399,0.332570300114364,0.0986620463952257,9.027646762194257,0.059331985754163,5.428918501674674,0.0442487246125709,4.048789479590927,0.5971663251961,0.3387507646976447,0.2584155604984553
test,heldout_input_entries,ae_m6a_probability,1038899,11354,0.0109288775906031,0.0384236237230469,0.7231023043715157,3.5157886438479635,0.0107759812505364,0.0052905837960449,0.0822023293868514,7.521571058452581,0.0488786216190201,4.472428317894872,0.0381364905188179,3.4895157533476735,0.0242440291094806,0.0063594562694291,0.0178845728400514
test,heldout_input_entries,coverage_only,1038899,11354,0.0109288775906031,0.0097794753770114,0.4552814228894415,0.8948288875904392,0.9890711224093968,0.0,0.0094330541919337,0.863131105068329,0.0084897487727403,0.776817994561496,0.0090961593993647,0.8323049941730316,3.897691726146158,4.097030365294792,-0.199338639148634
test,heldout_input_entries,train_site_mean_m6a,1038899,11354,0.0109288775906031,0.04719061407827,0.7576206817679452,4.317974438550347,0.0109314862393792,0.0086010490659065,0.0966406776398113,8.842690096822473,0.0578688997978631,5.295045105786524,0.0440562133025315,4.031174559079329,0.057413300199473,0.0191113291029165,0.0383019710965564
test,heldout_input_entries,train_site_significance_prior,1038899,11354,0.0109288775906031,0.0516424180668527,0.763963516860438,4.725317640235621,0.0106040032131109,0.0007338290449798,0.1012609490807585,9.26544818910084,0.0605063047454037,5.536369516795425,0.0453941669073058,4.153598256634939,0.0363283469565626,0.0113843827443747,0.0249439642121878
test,heldout_input_entries,observed_ratio_upper_bound,1038899,11354,0.0109288775906031,0.7518214433260549,0.991024780977638,68.79219179584244,0.0066671841769414,0.0082176003762667,0.7050726730195399,64.5146463737297,0.205043796323034,18.761651836903617,0.1092886707094041,9.999990374434498,0.7077701969209871,0.0115374353409945,0.6962327615799926
test,visible_input_entries,ae_significance_head,4155596,45418,0.0109293588693414,0.0502722554091309,0.7585632301607798,4.599744231123405,0.188457375047279,0.3325836454355205,0.1020309943209163,9.335496760668075,0.0598325151602656,5.474476213614412,0.0446529983636538,4.085600893654642,0.599852957165968,0.3388031655214241,0.2610497916445439
